method,domain_tag,evidence_item,n
ai_fallback,engineering,Mechanical Design Engineer,1
ai_fallback,engineering,projets industriels,1
ai_fallback,engineering,process management,1
ai_fallback,operations,Operations Oversight,1
ai_fallback,engineering,expertise technique,1
ai_fallback,supply,optimiser les coûts,1
ai_fallback,operations,suivi budgétaire,1
ai_fallback,engineering,automation,1
ai_fallback,other,cyber security,1
ai_fallback,engineering,cybersécurité,1
ai_fallback,engineering,Conception de l’Architecture Logicielle,1
ai_fallback,sales,traiter les plaintes des clients,1
ai_fallback,engineering,IT Support Engineer,1
ai_fallback,engineering,"Engineering, Industrial, and Supplier Quality teams",1
ai_fallback,finance,reportings financiers,1
rules,data,dashboard,1
ai_fallback,engineering,Rédacteur Technique,1
ai_fallback,engineering,R&D Interface & Technical Coordination,1
ai_fallback,engineering,production,1
ai_fallback,engineering,technical degree,1
ai_fallback,engineering,systèmes d'information,1
ai_fallback,supply,négocier les conditions contractuelles,1
ai_fallback,marketing,trends,1
ai_fallback,marketing,go-to-market readiness,1
ai_fallback,operations,execute and control production processes,1
ai_fallback,engineering,degree in Electrical Engineering,1
ai_fallback,engineering,rédaction des spécifications techniques,1
ai_fallback,supply,gestion de crise au sein des achats,1
ai_fallback,engineering,continuous improvement,1
ai_fallback,engineering,mechanical engineering,1
ai_fallback,sales,opportunités commerciales,1
ai_fallback,engineering,high-performance thin-film deposition processes,1
ai_fallback,engineering,durcissement des systèmes,1
ai_fallback,operations,rattaché à la direction des opérations,1
ai_fallback,operations,déploiement de la stratégie de Régionalisation,1
ai_fallback,supply,energy management,1
ai_fallback,operations,Scrum methodology,1
ai_fallback,operations,Coordinate the Training Operations,1
ai_fallback,finance,AML/KYC,1
ai_fallback,engineering,project quality management system,1
ai_fallback,engineering,system tests,1
rules,data,tableau,1
ai_fallback,finance,appels à projets,1
ai_fallback,engineering,conseil en ingénierie,1
ai_fallback,engineering,Project Engineer,1
ai_fallback,engineering,ingénierie de fabrication,1
ai_fallback,engineering,Architecture Systèmes,1
ai_fallback,operations,performance opérationnelle,1
ai_fallback,engineering,automaticien,1
ai_fallback,engineering,Application Security Engineer,1
ai_fallback,finance,structuration des dossiers,1
ai_fallback,marketing,User Acquisition Specialist,1
ai_fallback,engineering,root cause analysis,1
ai_fallback,operations,exploitation,1
ai_fallback,engineering,manufacturing processes,1
ai_fallback,engineering,tests du modèle,1
ai_fallback,engineering,Injection Equipment Engineer,1
